"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250628","출발시간","0755","ST-1848","성내1동_008_1","ST-1796","오금동_056_2","1","24","3624"
"20250628","출발시간","1510","ST-920","개봉1동_043_4","ST-1226","고척1동_023_1","1","4","527"
"20250628","출발시간","1810","ST-896","거여1동_002_1","ST-1794","마천2동_004_1","1","22","3805"
"20250628","출발시간","0925","ST-1123","공릉1동_049_1","ST-2703","하계2동_040_1","1","61","9406"
"20250628","출발시간","1100","ST-868","상계1동_053_2","ST-2709","상계8동_043_1","1","5","573"
"20250628","출발시간","1140","ST-3101","월계2동_043_1","ST-2971","월계2동_021_1","1","37","7244"
"20250628","출발시간","2225","ST-3214","방이2동_006_1","ST-2878","가락2동_061_1","1","16","2958"
"20250628","출발시간","2140","ST-445","군자동_032_2","ST-2321","화양동_040_1","1","9","372"
"20250628","출발시간","1610","ST-391","전농1동_001_1","ST-1300","장안1동_070_1","1","25","2582"
"20250628","출발시간","0225","ST-1006","목5동_005_1","ST-1018","목5동_051_1","2","90","7333"
"20250628","출발시간","1345","ST-2943","가양1동_020_2","ST-2031","가양1동_018_1","1","13","1772"
"20250628","출발시간","1545","ST-1125","상계6,7동_027_1","ST-1278","상계6,7동_001_1","1","10","1221"
"20250628","출발시간","2035","ST-2196","홍제1동_033_1","ST-1491","홍제2동_006_1","1","60","730"
"20250628","출발시간","1950","ST-1046","성내2동_010_1","ST-2740","성내1동_002_1","1","5","476"
"20250628","출발시간","1710","ST-1556","서초2동_002_1","ST-1305","서초1동_017_1","1","9","1355"
"20250628","출발시간","1135","ST-1335","면목2동_026_1","ST-99","자양3동_036_1","1","80","17593"
"20250628","출발시간","1830","ST-2764","신정6동_018_1","ST-2012","신정6동_044_1","1","8","544"
"20250628","출발시간","0130","ST-2941","거여2동_017_1","ST-895","거여1동_021_1","1","5","682"
"20250628","출발시간","1200","ST-2814","여의동_037_1","ST-59","여의동_051_6","1","18","2630"
"20250628","출발시간","1615","ST-3357","공릉2동_064_1","ST-2636","망우본동_031_1","1","22","3567"
"20250628","출발시간","1550","ST-2858","공항동_037_2","ST-2036","가양1동_017_2","1","4","710"
"20250628","출발시간","2250","ST-3235","영등포동_038_1","ST-73","여의동_010_1","1","13","2197"
"20250628","출발시간","1535","ST-94","상암동_025_4","ST-110","상암동_001_1","1","10","1590"
"20250628","출발시간","2220","ST-342","성산1동_022_1","ST-1169","잠원동_049_1","1","78","16070"
"20250628","출발시간","2150","ST-565","종암동_029_1","ST-565","종암동_029_1","1","36","3395"
"20250628","출발시간","1710","ST-1374","교남동_015_2","ST-1823","무악동_001_1","1","10","537"
"20250628","출발시간","2205","ST-1069","화곡6동_027_1","ST-517","염창동_010_1","1","19","2540"
"20250628","출발시간","1620","ST-445","군자동_032_2","ST-445","군자동_032_2","1","50","3083"
"20250628","출발시간","1645","ST-1018","목5동_051_1","ST-1018","목5동_051_1","1","27","4000"
"20250628","출발시간","0000","ST-292","양평1동_013_1","ST-3200","영등포본동_011_1","1","27","3059"
"20250628","출발시간","1635","ST-1818","혜화동_032_1","ST-157","이화동_014_1","1","3","311"
"20250628","출발시간","1325","ST-1559","개포2동_003_2","ST-3049","개포2동_025_1","1","5","422"
"20250628","출발시간","0815","ST-1084","문정1동_003_1","ST-899","문정2동_044_7","1","9","987"
"20250628","출발시간","1825","ST-2024","가양1동_027_2","ST-3100","등촌3동_001_4","1","5","912"
"20250628","출발시간","2210","ST-397","용신동_004_1","ST-3286","전농1동_003_2","1","50","1359"
"20250628","출발시간","2245","ST-1579","위례동_040_1","ST-1579","위례동_040_1","1","31","2850"
"20250628","출발시간","2025","ST-2929","둔촌1동_001_2","ST-2749","길동_012_1","1","22","4319"
"20250628","출발시간","1910","ST-3326","성수2가3동_007_2","ST-3326","성수2가3동_007_2","1","",""
"20250628","출발시간","1010","ST-1370","둔촌2동_041_1","ST-1839","성내3동_018_2","1","7","1590"
"20250628","출발시간","0210","ST-2110","창1동_018_2","ST-2967","창4동_038_1","1","10","1549"
"20250628","출발시간","1805","ST-83","상암동_061_1","ST-83","상암동_061_1","1","9","1289"
"20250628","출발시간","1140","ST-2199","천연동_027_2","ST-2199","천연동_027_2","1","32","1407"
"20250628","출발시간","1110","ST-1728","잠실본동_018_1","ST-1864","잠실본동_004_1","1","9","1155"
"20250628","출발시간","1505","ST-3099","용답동_021_1","ST-2333","용답동_017_1","1","4","820"
"20250628","출발시간","1500","ST-3015","상계6,7동_042_1","ST-2716","상계6,7동_037_1","1","10","526"
