"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250621","출발시간","0805","ST-2572","위례동_071_1","ST-1367","오금동_062_1","1","30","4064"
"20250621","출발시간","2335","ST-2451","한강로동_027_3","ST-1443","한강로동_025_1","1","3","745"
"20250621","출발시간","1205","ST-262","장안2동_036_1","ST-243","용답동_004_1","1","17","2814"
"20250621","출발시간","1930","ST-426","당산2동_052_1","ST-2494","염창동_005_1","2","49","8259"
"20250621","출발시간","1855","ST-2394","청룡동_069_1","ST-2379","서원동_023_1","1","9","1672"
"20250621","출발시간","1335","ST-724","서원동_036_1","ST-664","신도림동_050_1","1","24","6556"
"20250621","출발시간","1245","ST-1497","목1동_003_2","ST-2844","목5동_059_1","1","8","1200"
"20250621","출발시간","1220","ST-3003","성수2가3동_004_2","ST-114","군자동_017_1","1","12","1062"
"20250621","출발시간","1720","ST-493","천호2동_029_2","ST-1684","풍납1동_002_1","1","44","1573"
"20250621","출발시간","2025","ST-1217","돈암1동_018_1","ST-563","길음1동_072_2","1","2","360"
"20250621","출발시간","2135","ST-1718","방화1동_041_1","ST-2490","가양1동_001_2","2","33","4149"
"20250621","출발시간","0925","ST-2036","가양1동_017_2","ST-2045","가양1동_012_12","1","6","780"
"20250621","출발시간","0855","ST-2312","능동_002_3","ST-3120","성수2가3동_006_4","1","17","2143"
"20250621","출발시간","1520","ST-1253","방화1동_049_1","ST-1064","발산1동_056_1","2","20","1571"
"20250621","출발시간","2150","ST-1142","가산동_017_1","ST-2638","시흥1동_003_2","1","21","2503"
"20250621","출발시간","1615","ST-3081","한강로동_035_1","ST-442","서빙고동_007_1","1","16","2260"
"20250621","출발시간","1325","ST-8","합정동_023_2","ST-2905","망원1동_005_1","2","103","13267"
"20250621","출발시간","1730","ST-3078","신사동_019_2","ST-777","신사동_001_1","2","14","950"
"20250621","출발시간","2115","ST-971","월계3동_001_4","ST-2094","방학1동_007_1","2","108","14174"
"20250621","출발시간","1545","ST-690","상도2동_001_1","ST-699","노량진2동_020_1","1","7","1018"
"20250621","출발시간","2020","ST-1338","방화1동_048_1","ST-1688","가양1동_016_3","2","21","3532"
"20250621","출발시간","1520","ST-346","홍은2동_032_2","ST-17","홍은2동_035_1","1","3","554"
"20250621","출발시간","1935","ST-1099","상봉2동_019_1","ST-599","중화2동_012_2","1","7","840"
"20250621","출발시간","1615","ST-1413","오금동_056_1","ST-2571","잠실6동_001_4","1","27","3335"
"20250621","출발시간","1015","ST-914","상계5동_001_2","ST-1278","상계6,7동_001_1","1","8","1596"
"20250621","출발시간","1240","ST-287","당산2동_017_1","ST-413","당산1동_014_1","1","5","757"
"20250621","출발시간","2045","ST-1087","오륜동_001_2","ST-2740","성내1동_002_1","1","59","3330"
"20250621","출발시간","2115","ST-1195","응봉동_003_1","ST-573","면목7동_033_1","1","37","9185"
"20250621","출발시간","1015","ST-2167","서교동_008_1","ST-2979","연남동_029_2","1","8","1185"
"20250621","출발시간","1630","ST-198","신당동_004_1","ST-198","신당동_004_1","1","20","2293"
"20250621","출발시간","1915","ST-3121","성수2가3동_008_1","ST-1654","도곡2동_048_1","2","122","21798"
"20250621","출발시간","0700","ST-1093","중화2동_027_1","ST-599","중화2동_012_2","1","2","334"
"20250621","출발시간","1005","ST-1850","고덕2동_034_1","ST-3366","고덕2동_003_3","1","37","2500"
"20250621","출발시간","0635","ST-1084","문정1동_003_1","ST-2606","가락1동_048_7","1","7","1020"
"20250621","출발시간","1935","ST-1421","암사3동_006_2","ST-1421","암사3동_006_2","1","55","1092"
"20250621","출발시간","1630","ST-173","혜화동_033_1","ST-444","혜화동_032_2","1","3","426"
"20250621","출발시간","1655","ST-1938","가산동_003_4","ST-1142","가산동_017_1","1","17","1120"
"20250621","출발시간","1805","ST-336","종로1,2,3,4가동_003_9","ST-3297","소공동_003_1","1","8","1410"
"20250621","출발시간","2305","ST-1320","양평1동_028_1","ST-1320","양평1동_028_1","1","",""
"20250621","출발시간","0510","ST-1050","","ST-3085","명일1동_008_1","1","4","684"
"20250621","출발시간","1200","ST-1850","고덕2동_034_1","ST-1059","고덕1동_093_1","1","11","1851"
"20250621","출발시간","2005","ST-526","화곡본동_019_1","ST-528","등촌2동_026_1","1","13","2807"
"20250621","출발시간","1145","ST-210","성산1동_006_1","ST-2981","상암동_025_2","1","9","2349"
"20250621","출발시간","2105","ST-1526","오류1동_002_1","ST-1526","오류1동_002_1","1","65","9246"
"20250621","출발시간","0810","ST-310","목4동_016_1","ST-1995","목1동_006_2","1","8","1328"
"20250621","출발시간","2055","ST-3163","목1동_037_2","ST-315","신정6동_017_1","1","12","1277"
"20250621","출발시간","2220","ST-1195","응봉동_003_1","ST-369","왕십리도선동_050_1","1","26","5606"
"20250621","출발시간","1545","ST-572","월곡2동_024_1","ST-2236","장위3동_010_1","1","14","2100"
"20250621","출발시간","1000","ST-2820","문래동_025_1","ST-418","당산1동_003_1","1","18","3480"
"20250621","출발시간","1355","ST-2295","상봉1동_004_1","ST-857","중화1동_001_1","1","7","1025"
