"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250608","출발시간","2055","ST-1582","삼전동_001_1","ST-3214","방이2동_006_1","1","10","1372"
"20250608","출발시간","1440","ST-488","암사1동_044_1","ST-2580","오륜동_002_2","1","33","12410"
"20250608","출발시간","1100","ST-303","신길3동_021_1","ST-2808","대림3동_036_1","1","12","1510"
"20250608","출발시간","2155","ST-2808","대림3동_036_1","ST-303","신길3동_021_1","1","10","1268"
"20250608","출발시간","1915","ST-750","반포3동_015_5","ST-927","반포1동_057_1","1","10","987"
"20250608","출발시간","1530","ST-2821","영등포본동_039_1","ST-2810","신길1동_005_1","1","36","2585"
"20250608","출발시간","1615","ST-2750","길동_053_1","ST-1834","천호3동_021_1","1","70","1790"
"20250608","출발시간","1420","ST-2535","상암동_003_1","ST-83","상암동_061_1","1","5","510"
"20250608","출발시간","1435","ST-3315","여의동_051_3","ST-63","여의동_060_1","2","216","31839"
"20250608","출발시간","1410","ST-403","청량리동_003_2","ST-376","마장동_019_1","1","99","19939"
"20250608","출발시간","2015","ST-3189","수궁동_038_2","ST-1527","오류2동_009_1","1","3","694"
"20250608","출발시간","1505","ST-1249","등촌3동_064_1","ST-1689","가양1동_017_1","1","17","2144"
"20250608","출발시간","1105","ST-2901","신길4동_023_1","ST-2902","영등포본동_014_1","1","3","774"
"20250608","출발시간","1530","ST-2901","신길4동_023_1","ST-2819","신길4동_004_1","1","",""
"20250608","출발시간","1345","ST-1110","번1동_032_1","ST-2125","번1동_034_1","1","4","528"
"20250608","출발시간","1155","ST-2535","상암동_003_1","ST-85","성산2동_076_3","1","28","3640"
"20250608","출발시간","2300","ST-2274","제기동_043_1","ST-3165","용신동_036_1","1","5","817"
"20250608","출발시간","0805","ST-1006","목5동_005_1","ST-2774","목5동_063_1","1","6","1250"
"20250608","출발시간","1535","ST-1577","역삼1동_044_1","ST-1864","잠실본동_004_1","1","30","4911"
"20250608","출발시간","1110","ST-366","옥수동_045_1","ST-2905","망원1동_005_1","1","70","14623"
"20250608","출발시간","1120","ST-1819","혜화동_015_1","ST-158","이화동_009_1","1","4","745"
"20250608","출발시간","1450","ST-674","가리봉동_001_1","ST-625","가산동_028_1","1","6","700"
"20250608","출발시간","1410","ST-3288","상계2동_031_2","ST-2070","중계1동_050_1","2","19","4591"
"20250608","출발시간","1800","ST-510","방화2동_020_1","ST-522","우장산동_010_2","1","22","2959"
"20250608","출발시간","1210","ST-2580","오륜동_002_2","ST-1687","성내3동_018_1","1","32","430"
"20250608","출발시간","1750","ST-254","구의3동_001_3","ST-248","행당2동_005_1","1","58","9349"
"20250608","출발시간","1935","ST-3049","개포2동_025_1","ST-1181","대치2동_052_1","1","3","657"
"20250608","출발시간","1740","ST-3251","가양1동_012_16","ST-2031","가양1동_018_1","1","6","960"
"20250608","출발시간","2020","ST-1171","신사동_018_1","ST-2446","이태원1동_002_1","2","143","12840"
"20250608","출발시간","0355","ST-2760","신정2동_021_1","ST-2007","신정2동_028_1","2","5","1087"
"20250608","출발시간","0450","ST-2007","신정2동_028_1","ST-2760","신정2동_021_1","2","6","1029"
"20250608","출발시간","0625","ST-1407","세곡동_033_1","ST-2907","세곡동_047_1","1","71","11352"
"20250608","출발시간","1425","ST-1144","독산3동_004_1","ST-668","구로3동_034_1","1","6","1264"
"20250608","출발시간","1725","ST-1968","영등포동_016_1","ST-278","양평2동_007_1","2","64","4958"
"20250608","출발시간","1505","ST-1854","장지동_056_1","ST-904","문정2동_015_1","2","72","8015"
"20250608","출발시간","0945","ST-2232","장위3동_006_1","ST-2074","월계1동_015_2","1","5","430"
"20250608","출발시간","0030","ST-2167","서교동_008_1","ST-342","성산1동_022_1","1","13","1790"
"20250608","출발시간","0000","ST-2040","가양1동_012_8","ST-1352","발산1동_065_1","1","9","1513"
"20250608","출발시간","2025","ST-1190","연희동_036_1","ST-1190","연희동_036_1","1","",""
"20250608","출발시간","0910","ST-2007","신정2동_028_1","ST-1997","목1동_015_1","1","11","1510"
"20250608","출발시간","1615","ST-894","잠실4동_027_3","ST-2876","방이2동_005_1","1","6","629"
"20250608","출발시간","1030","ST-828","공항동_005_2","ST-2045","가양1동_012_12","1","7","1490"
"20250608","출발시간","1640","ST-1284","중계1동_021_1","ST-3116","상계6,7동_005_1","1","9","1311"
"20250608","출발시간","1105","ST-1579","위례동_040_1","ST-1861","위례동_008_1","1","19","3500"
"20250608","출발시간","2150","ST-2876","방이2동_005_1","ST-1580","오륜동_002_1","1","17","2413"
"20250608","출발시간","2345","ST-274","용신동_014_1","ST-398","답십리1동_025_1","1","13","1934"
"20250608","출발시간","1705","ST-2729","중계1동_025_4","ST-3116","상계6,7동_005_1","1","8","1317"
"20250608","출발시간","1925","ST-3179","일원1동_012_3","ST-2867","일원1동_016_1","1","3","701"
"20250608","출발시간","1745","ST-2965","공항동_057_1","ST-1062","공항동_004_1","1","7","1040"
"20250608","출발시간","2135","ST-1692","성산2동_010_1","ST-25","홍제3동_011_1","1","29","5606"
"20250608","출발시간","2040","ST-510","방화2동_020_1","ST-1688","가양1동_016_3","1","13","2420"
"20250608","출발시간","1325","ST-1378","구의1동_008_1","ST-2546","자양2동_015_1","1","75","2510"
"20250608","출발시간","1920","ST-2817","대림1동_015_1","ST-1276","가산동_003_2","1","17","2705"
"20250608","출발시간","1500","ST-793","압구정동_025_1","ST-787","논현1동_017_1","1","34","3934"
"20250608","출발시간","1405","ST-866","월계3동_001_2","ST-604","공릉2동_044_3","2","17","3059"
"20250608","출발시간","0825","ST-1350","목5동_002_2","ST-1994","목5동_016_1","1","13","1516"
"20250608","출발시간","1530","ST-2567","고덕1동_064_1","ST-2567","고덕1동_064_1","1","106","1930"
"20250608","출발시간","1500","ST-2553","염창동_042_1","ST-1736","목5동_002_3","1","13","1707"
"20250608","출발시간","2110","ST-117","사직동_009_1","ST-2623","종로1,2,3,4가동_006_2","1","18","2172"
"20250608","출발시간","0125","ST-1262","인헌동_036_1","ST-2873","신사동_003_1","1","23","4719"
"20250608","출발시간","1330","ST-610","상계6,7동_042_2","ST-2716","상계6,7동_037_1","1","3","365"
"20250608","출발시간","1655","ST-402","회기동_020_1","ST-1805","종로1,2,3,4가동_002_4","2","190","18113"
"20250608","출발시간","1040","ST-2771","신월6동_002_1","ST-2768","신월2동_031_1","1","3","439"
