"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250422","도착시간","2235","ST-2314","자양1동_023_1","ST-984","자양1동_028_1","1","4","380"
"20250422","도착시간","0845","ST-1967","영등포본동_040_1","ST-1353","영등포본동_037_1","1","5","790"
"20250422","도착시간","2055","ST-2149","상암동_026_1","ST-2535","상암동_003_1","1","8","1287"
"20250422","도착시간","1635","ST-2738","둔촌2동_026_1","ST-892","방이1동_009_1","1","19","2481"
"20250422","도착시간","1950","ST-1973","당산2동_037_1","ST-287","당산2동_017_1","1","",""
"20250422","도착시간","0820","ST-1855","문정1동_003_2","ST-2605","문정2동_045_1","1","7","1244"
"20250422","도착시간","1820","ST-1065","가양1동_016_2","ST-2557","화곡6동_024_1","1","10","1420"
"20250422","도착시간","2145","ST-3119","방학1동_050_1","ST-1465","방학1동_028_1","1","",""
"20250422","도착시간","2315","ST-1694","화곡3동_015_1","ST-2049","발산1동_001_4","1","4","1160"
"20250422","도착시간","2145","ST-522","우장산동_010_2","ST-1069","화곡6동_027_1","1","13","1840"
"20250422","도착시간","0100","ST-1061","천호1동_023_1","ST-494","길동_012_2","1","11","1464"
"20250422","도착시간","1715","ST-2422","명동_001_13","ST-147","명동_001_8","1","39","1547"
"20250422","도착시간","2040","ST-1047","성내1동_016_1","ST-502","성내1동_014_1","1","4","782"
"20250422","도착시간","0550","ST-1351","등촌3동_001_1","ST-1065","가양1동_016_2","1","4","670"
"20250422","도착시간","1715","ST-3200","영등포본동_011_1","ST-1700","영등포본동_012_1","1","9","1022"
"20250422","도착시간","1740","ST-2747","둔촌2동_032_1","ST-548","잠실2동_050_1","1","42","7576"
"20250422","도착시간","2325","ST-1251","가양1동_020_1","ST-1689","가양1동_017_1","1","9","1700"
"20250422","도착시간","0710","ST-2557","화곡6동_024_1","ST-3094","등촌1동_003_1","1","3","492"
"20250422","도착시간","1935","ST-1333","묵1동_003_1","ST-596","신내2동_004_2","1","6","823"
"20250422","도착시간","0835","ST-3360","반포4동_001_3","ST-765","서초4동_024_2","1","6","670"
"20250422","도착시간","2245","ST-3142","영등포본동_020_3","ST-1649","영등포동_025_1","1","5","722"
"20250422","도착시간","2310","ST-3240","대치2동_024_1","ST-1886","대치2동_019_1","2","310","1058"
"20250422","도착시간","1830","ST-1886","대치2동_019_1","ST-3240","대치2동_024_1","1","2","440"
"20250422","도착시간","0205","ST-838","가락본동_002_2","ST-3230","가락본동_043_1","1","40","660"
"20250422","도착시간","1815","ST-1481","진관동_011_1","ST-2244","진관동_003_3","1","4","800"
"20250422","도착시간","1930","ST-894","잠실4동_027_3","ST-2608","잠실4동_027_2","2","46","7299"
"20250422","도착시간","0035","ST-2293","중화1동_028_1","ST-1263","군자동_035_1","1","37","5737"
"20250422","도착시간","0130","ST-988","자양3동_010_1","ST-2310","화양동_046_1","1","10","1441"
"20250422","도착시간","0025","ST-3123","중계4동_011_1","ST-914","상계5동_001_2","1","5","623"
"20250422","도착시간","1640","ST-2762","신정4동_013_1","ST-2960","신정7동_021_1","1","7","2540"
"20250422","도착시간","1840","ST-1085","문정2동_017_1","ST-1364","세곡동_010_1","1","14","1642"
"20250422","도착시간","1955","ST-2749","길동_012_1","ST-2740","성내1동_002_1","1","8","1750"
"20250422","도착시간","0220","ST-2257","응암3동_002_1","ST-460","응암3동_007_1","1","10","843"
"20250422","도착시간","1715","ST-2717","상계2동_020_1","ST-2706","중계1동_025_3","1","8","944"
"20250422","도착시간","0420","ST-1733","신도림동_033_1","ST-2464","구로5동_001_2","1","5","2420"
"20250422","도착시간","0135","ST-460","응암3동_007_1","ST-2247","신사2동_013_1","1","",""
"20250422","도착시간","0835","ST-1869","가락1동_040_1","ST-2987","문정2동_031_1","1","14","1920"
"20250422","도착시간","2040","ST-2748","성내2동_023_1","ST-3248","둔촌2동_004_1","1","7","814"
"20250422","도착시간","1700","ST-2506","휘경2동_039_1","ST-563","길음1동_072_2","1","18","4543"
"20250422","도착시간","2205","ST-2035","가양1동_016_5","ST-2888","우장산동_044_1","1","7","1155"
"20250422","도착시간","0545","ST-2412","발산1동_057_4","ST-1064","발산1동_056_1","1","4","743"
"20250422","도착시간","1325","ST-1509","가양3동_028_1","ST-1509","가양3동_028_1","1","52","1735"
"20250422","도착시간","2030","ST-2501","답십리2동_018_1","ST-398","답십리1동_025_1","1","5","770"
"20250422","도착시간","1940","ST-1118","중계2,3동_047_1","ST-2710","상계8동_002_1","1","25","4262"
"20250422","도착시간","1935","ST-883","조원동_015_4","ST-705","난곡동_008_1","1","17","2104"
"20250422","도착시간","2020","ST-830","둔촌1동_001_4","ST-1041","성내1동_012_1","1","9","1341"
"20250422","도착시간","0830","ST-1650","영등포동_023_1","ST-419","당산1동_006_1","1","5","602"
"20250422","도착시간","2240","ST-2882","역삼1동_012_2","ST-1590","잠실3동_053_3","1","61","7880"
"20250422","도착시간","2245","ST-1407","세곡동_033_1","ST-903","문정2동_044_11","1","9","2916"
"20250422","도착시간","0115","ST-513","가양1동_025_1","ST-1254","방화1동_043_1","1","3","1330"
"20250422","도착시간","1830","ST-3116","상계6,7동_005_1","ST-2063","상계6,7동_049_1","1","4","460"
"20250422","도착시간","1935","ST-290","도림동_002_3","ST-304","도림동_018_1","1","6","537"
"20250422","도착시간","2035","ST-15","서강동_008_1","ST-24","신수동_005_1","1","8","1257"
"20250422","도착시간","1735","ST-94","상암동_025_4","ST-110","상암동_001_1","1","13","1649"
"20250422","도착시간","2025","ST-2168","서교동_001_1","ST-212","성산2동_005_1","1","9","1630"
"20250422","도착시간","2050","ST-1197","왕십리도선동_024_1","ST-1198","왕십리도선동_027_1","1","4","630"
"20250422","도착시간","2225","ST-602","공릉1동_045_1","ST-735","공릉1동_016_1","1","8","826"
"20250422","도착시간","2010","ST-1279","상계6,7동_027_2","ST-3266","상계10동_023_1","1","37","1430"
"20250422","도착시간","0415","ST-1402","공항동_038_1","ST-1727","방화1동_052_1","1","6","1150"
"20250422","도착시간","1850","ST-3322","당산1동_038_1","ST-997","목4동_036_1","1","26","3388"
"20250422","도착시간","2010","ST-2208","남가좌1동_020_1","ST-3139","연희동_042_1","1","94","2701"
"20250422","도착시간","1845","ST-596","신내2동_004_2","ST-2265","이문2동_031_1","1","41","6058"
"20250422","도착시간","1920","ST-111","성수1가2동_019_1","ST-112","성수2가3동_004_1","1","11","1768"
"20250422","도착시간","0525","ST-2546","자양2동_015_1","ST-2546","자양2동_015_1","1","17","1494"
"20250422","도착시간","1815","ST-1474","공릉1동_031_1","ST-971","월계3동_001_4","1","35","1555"
"20250422","도착시간","2055","ST-2559","신도림동_071_1","ST-663","신도림동_008_1","1","5","953"
"20250422","도착시간","0820","ST-2925","개포2동_004_2","ST-957","개포1동_009_1","1","5","860"
"20250422","도착시간","0100","ST-2972","문정2동_044_3","ST-1855","문정1동_003_2","1","6","660"
"20250422","도착시간","1845","ST-3317","용신동_007_1","ST-1781","신당동_005_2","1","16","3136"
"20250422","도착시간","1750","ST-729","사당1동_011_1","ST-754","방배2동_033_1","1","13","1028"
"20250422","도착시간","1725","ST-1541","대림2동_016_1","ST-291","영등포본동_023_1","1","43","4715"
"20250422","도착시간","0825","ST-639","독산1동_035_1","ST-1149","가산동_019_2","1","7","1166"
"20250422","도착시간","0320","ST-252","중곡1동_005_1","ST-252","중곡1동_005_1","4","89","4902"
"20250422","도착시간","2320","ST-299","신길7동_009_1","ST-2823","신길6동_018_1","1","16","2180"
"20250422","도착시간","0815","ST-2543","군자동_023_1","ST-1263","군자동_035_1","1","4","552"
"20250422","도착시간","1805","ST-702","신림동_006_1","ST-1537","독산3동_026_1","1","19","1835"
"20250422","도착시간","0745","ST-2031","가양1동_018_1","ST-1712","가양1동_012_3","1","6","672"
"20250422","도착시간","2045","ST-2379","서원동_023_1","ST-976","신림동_027_2","1","3","319"
"20250422","도착시간","1725","ST-9","연남동_014_1","ST-2536","성산1동_030_2","1","8","1166"
"20250422","도착시간","1810","ST-3214","방이2동_006_1","ST-546","잠실본동_006_1","1","28","2600"
"20250422","도착시간","2155","ST-535","화곡8동_037_1","ST-312","신정4동_015_1","1","13","1859"
"20250422","도착시간","0230","ST-1476","상계10동_034_1","ST-2113","방학3동_037_1","1","20","2760"
"20250422","도착시간","2345","ST-2014","신정7동_001_2","ST-2398","신정6동_026_2","1","5","712"
"20250422","도착시간","1825","ST-2398","신정6동_026_2","ST-2396","신정6동_002_3","1","6","1150"
"20250422","도착시간","2335","ST-2960","신정7동_021_1","ST-2014","신정7동_001_2","1","6","630"
"20250422","도착시간","0120","ST-2094","방학1동_007_1","ST-1293","방학3동_001_1","1","12","1840"
"20250422","도착시간","0110","ST-3212","당산1동_009_1","ST-2820","문래동_025_1","1","9","1483"
"20250422","도착시간","1840","ST-409","답십리1동_006_1","ST-3286","전농1동_003_2","1","7","940"
"20250422","도착시간","0240","ST-370","응봉동_001_1","ST-2420","사근동_002_1","1","24","3640"
"20250422","도착시간","2125","ST-2045","가양1동_012_12","ST-831","방화3동_020_1","1","17","2360"
"20250422","도착시간","2020","ST-1440","황학동_015_1","ST-1781","신당동_005_2","1","4","735"
"20250422","도착시간","0315","ST-279","양평2동_011_1","ST-702","신림동_006_1","1","35","8810"
"20250422","도착시간","0840","ST-3324","방화1동_041_4","ST-2033","가양1동_012_7","1","8","956"
"20250422","도착시간","0250","ST-253","군자동_012_1","ST-3173","이문1동_013_1","1","33","5674"
"20250422","도착시간","1820","ST-1999","목2동_006_1","ST-1006","목5동_005_1","1","10","2159"
"20250422","도착시간","0035","ST-1335","면목2동_026_1","ST-2500","장안2동_019_1","1","8","1117"
"20250422","도착시간","2015","ST-1660","자양3동_013_1","ST-99","자양3동_036_1","1","6","970"
"20250422","도착시간","2225","ST-3046","종암동_046_1","ST-579","석관동_032_1","1","16","2941"
"20250422","도착시간","0535","ST-2119","쌍문2동_020_1","ST-2120","창5동_002_3","1","6","560"
