"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250413","출발시간","1325","ST-3023","망우본동_001_1","ST-2906","신내1동_073_1","1","4","1130"
"20250413","출발시간","1325","ST-210","성산1동_006_1","ST-2536","성산1동_030_2","1","4","398"
"20250413","출발시간","0750","ST-479","역촌동_080_1","ST-2264","역촌동_068_1","1","2","480"
"20250413","출발시간","0825","ST-678","개봉1동_021_1","ST-919","고척1동_001_2","1","13","2306"
"20250413","출발시간","1400","ST-2929","둔촌1동_001_2","ST-2940","오륜동_009_1","2","30","1160"
"20250413","출발시간","2000","ST-2470","불광1동_018_2","ST-1032","불광1동_030_1","1","5","906"
"20250413","출발시간","0930","ST-1916","방배본동_030_1","ST-1916","방배본동_030_1","2","109","6656"
"20250413","출발시간","1200","ST-658","창5동_006_1","ST-2110","창1동_018_2","1","3","879"
"20250413","출발시간","1010","ST-1389","우이동_019_1","ST-658","창5동_006_1","1","14","3352"
"20250413","출발시간","0930","ST-2056","발산1동_035_2","ST-2031","가양1동_018_1","1","11","1396"
"20250413","출발시간","1240","ST-1017","목5동_008_1","ST-2018","염창동_061_2","2","36","5108"
"20250413","출발시간","1705","ST-1974","도림동_002_2","ST-1223","구로5동_001_1","1","5","832"
"20250413","출발시간","0745","ST-2332","금호4가동_019_1","ST-2332","금호4가동_019_1","1","10","1480"
"20250413","출발시간","2010","ST-2486","공항동_004_2","ST-308","목2동_006_2","1","45","6498"
"20250413","출발시간","1640","ST-879","양재1동_033_1","ST-879","양재1동_033_1","1","40","5156"
"20250413","출발시간","0955","ST-542","잠실4동_003_4","ST-491","암사2동_005_2","1","33","6195"
"20250413","출발시간","1955","ST-1678","삼성동_004_1","ST-1678","삼성동_004_1","1","15","530"
"20250413","출발시간","1255","ST-1868","잠실3동_028_1","ST-1868","잠실3동_028_1","1","91","1800"
"20250413","출발시간","0750","ST-1476","상계10동_034_1","ST-3218","상계8동_032_1","1","5","690"
"20250413","출발시간","0755","ST-1275","구로5동_040_1","ST-3303","신도림동_067_1","1","9","1148"
"20250413","출발시간","1355","ST-1908","반포3동_015_1","ST-780","잠원동_008_1","1","3","372"
"20250413","출발시간","1010","ST-1851","석촌동_036_1","ST-1730","송파1동_038_1","1","6","1030"
"20250413","출발시간","1245","ST-3241","당산1동_028_2","ST-293","영등포동_019_1","1","4","616"
"20250413","출발시간","1520","ST-1884","삼성1동_023_1","ST-2690","청담동_023_1","2","27","3612"
"20250413","출발시간","1535","ST-2579","오금동_023_1","ST-2409","가락1동_048_3","1","8","1874"
"20250413","출발시간","0130","ST-566","중화2동_012_1","ST-857","중화1동_001_1","1","9","1020"
"20250413","출발시간","2310","ST-2576","문정2동_025_1","ST-904","문정2동_015_1","1","7","746"
"20250413","출발시간","1020","ST-1263","군자동_035_1","ST-97","화양동_002_1","1","53","1099"
"20250413","출발시간","1150","ST-3054","후암동_024_1","ST-2625","광희동_006_1","1","10","2920"
"20250413","출발시간","2120","ST-2558","우장산동_006_1","ST-834","등촌3동_002_1","1","12","2025"
"20250413","출발시간","0645","ST-1923","잠원동_026_1","ST-780","잠원동_008_1","1","6","886"
"20250413","출발시간","1035","ST-1916","방배본동_030_1","ST-1916","방배본동_030_1","1","21","1267"
"20250413","출발시간","2220","ST-317","신정3동_010_1","ST-317","신정3동_010_1","1","38","1095"
"20250413","출발시간","1910","ST-210","성산1동_006_1","ST-2531","서교동_008_2","1","42","3270"
"20250413","출발시간","1125","ST-2012","신정6동_044_1","ST-2012","신정6동_044_1","1","21","2645"
"20250413","출발시간","2325","ST-2355","사당1동_034_1","ST-1557","방배3동_024_1","1","14","1735"
"20250413","출발시간","1520","ST-454","대조동_020_1","ST-454","대조동_020_1","1","",""
"20250413","출발시간","1345","ST-1364","세곡동_010_1","ST-1184","수서동_019_1","1","7","1384"
"20250413","출발시간","2000","ST-1681","잠실6동_001_3","ST-1420","성내3동_030_1","1","28","3555"
