"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250427","출발시간","2100","ST-3094","등촌1동_003_1","ST-1510","등촌1동_043_1","1","2","381"
"20250427","출발시간","0900","ST-244","왕십리도선동_039_1","ST-272","용신동_047_1","1","85","1100"
"20250427","출발시간","1610","ST-1390","수유2동_030_1","ST-650","수유3동_017_1","1","4","605"
"20250427","출발시간","1735","ST-513","가양1동_025_1","ST-514","가양1동_011_1","1","3","715"
"20250427","출발시간","1000","ST-3061","여의동_051_2","ST-2814","여의동_037_1","1","14","1697"
"20250427","출발시간","1405","ST-2353","대방동_033_1","ST-2803","대방동_033_2","1","27","529"
"20250427","출발시간","1155","ST-494","길동_012_2","ST-495","성내3동_041_1","1","59","1140"
"20250427","출발시간","1545","ST-963","논현2동_022_1","ST-1895","압구정동_045_1","1","10","1279"
"20250427","출발시간","1915","ST-1131","쌍문1동_001_1","ST-2124","우이동_034_1","1","4","320"
"20250427","출발시간","0920","ST-370","응봉동_001_1","ST-360","행당1동_001_2","1","7","895"
"20250427","출발시간","0135","ST-422","당산2동_003_2","ST-1973","당산2동_037_1","1","3","807"
"20250427","출발시간","1100","ST-2861","공릉1동_011_1","ST-2134","인수동_023_1","1","44","6558"
"20250427","출발시간","1810","ST-26","대흥동_029_2","ST-297","여의동_006_4","1","42","4649"
"20250427","출발시간","2220","ST-2663","반포4동_001_1","ST-746","반포1동_053_1","1","88","28320"
"20250427","출발시간","1200","ST-892","방이1동_009_1","ST-541","풍납2동_024_1","1","17","2706"
"20250427","출발시간","1345","ST-64","여의동_006_15","ST-68","여의동_042_1","2","14","1928"
"20250427","출발시간","1750","ST-600","월계1동_011_1","ST-2102","쌍문1동_002_1","1","36","6901"
"20250427","출발시간","1605","ST-770","양재1동_018_2","ST-2847","일원1동_018_2","1","37","7564"
"20250427","출발시간","2010","ST-1554","반포1동_037_1","ST-788","논현1동_006_2","1","3","1660"
