"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250503","출발시간","1655","ST-3255","중림동_005_1","ST-1769","소공동_001_3","2","59","774"
"20250503","출발시간","1840","ST-1455","안암동_013_1","ST-1201","동선동_028_1","2","15","2014"
"20250503","출발시간","1940","ST-2602","잠실7동_003_1","ST-2602","잠실7동_003_1","1","29","1828"
"20250503","출발시간","0445","ST-3100","등촌3동_001_4","ST-1251","가양1동_020_1","1","1","462"
"20250503","출발시간","1850","ST-1047","성내1동_016_1","ST-1083","풍납1동_003_1","1","11","1456"
"20250503","출발시간","1330","ST-3085","명일1동_008_1","ST-1420","성내3동_030_1","1","15","2909"
"20250503","출발시간","1445","ST-150","종로1,2,3,4가동_005_2","ST-2623","종로1,2,3,4가동_006_2","1","3","531"
"20250503","출발시간","1410","ST-1700","영등포본동_012_1","ST-1990","영등포본동_020_2","1","4","607"
"20250503","출발시간","2040","ST-2576","문정2동_025_1","ST-1707","문정2동_002_1","1","119","930"
"20250503","출발시간","1500","ST-76","상암동_013_1","ST-2149","상암동_026_1","1","12","1108"
"20250503","출발시간","1750","ST-3080","원효로1동_019_1","ST-1327","원효로2동_026_1","1","13","1904"
"20250503","출발시간","1615","ST-1123","공릉1동_049_1","ST-602","공릉1동_045_1","1","8","1304"
"20250503","출발시간","0155","ST-2760","신정2동_021_1","ST-2960","신정7동_021_1","1","7","1475"
"20250503","출발시간","2010","ST-619","가산동_004_5","ST-3032","독산1동_086_1","2","26","1447"
"20250503","출발시간","1230","ST-462","응암3동_002_2","ST-456","갈현2동_014_1","1","96","3498"
"20250503","출발시간","2015","ST-89","성산2동_001_3","ST-462","응암3동_002_2","1","17","2692"
"20250503","출발시간","0935","ST-258","자양2동_032_1","ST-99","자양3동_036_1","1","3","574"
"20250503","출발시간","2145","ST-2374","은천동_067_1","ST-976","신림동_027_2","1","4","770"
"20250503","출발시간","1815","ST-1482","불광1동_018_1","ST-2779","역촌동_039_1","1","23","1742"
"20250503","출발시간","1800","ST-1584","잠실6동_004_1","ST-255","구의3동_001_4","1","20","3028"
"20250503","출발시간","1450","ST-3238","영등포동_056_1","ST-306","영등포동_054_1","1","6","376"
"20250503","출발시간","0800","ST-660","독산1동_026_4","ST-2007","신정2동_028_1","1","32","7089"
"20250503","출발시간","1545","ST-839","송파2동_007_1","ST-1586","잠실6동_001_1","1","13","1752"
"20250503","출발시간","2000","ST-419","당산1동_006_1","ST-3241","당산1동_028_2","1","44","2110"
"20250503","출발시간","1435","ST-830","둔촌1동_001_4","ST-830","둔촌1동_001_4","1","99","2851"
"20250503","출발시간","1330","ST-728","대방동_031_2","ST-299","신길7동_009_1","1","5","821"
"20250503","출발시간","1325","ST-194","회현동_001_3","ST-1819","혜화동_015_1","1","39","5440"
