"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20250515","출발시간","1925","ST-2024","가양1동_027_2","ST-2054","화곡1동_047_1","1","49","5850"
"20250515","출발시간","1810","ST-1718","방화1동_041_1","ST-514","가양1동_011_1","1","5","1091"
"20250515","출발시간","2205","ST-2396","신정6동_002_3","ST-2855","개봉2동_005_1","1","21","4265"
"20250515","출발시간","1515","ST-2803","대방동_033_2","ST-1007","신월7동_013_1","1","56","8908"
"20250515","출발시간","1810","ST-1349","공릉2동_020_1","ST-1111","공릉1동_042_1","2","32","3473"
"20250515","출발시간","1140","ST-2129","번2동_002_1","ST-2223","석관동_001_1","1","32","4225"
"20250515","출발시간","2220","ST-1010","신월3동_007_1","ST-1010","신월3동_007_1","1","24","1440"
"20250515","출발시간","1655","ST-312","신정4동_015_1","ST-678","개봉1동_021_1","1","29","3648"
"20250515","출발시간","1830","ST-914","상계5동_001_2","ST-1475","중계본동_007_2","1","24","2309"
"20250515","출발시간","1235","ST-664","신도림동_050_1","ST-1699","문래동_002_1","1","6","955"
"20250515","출발시간","2120","ST-1284","중계1동_021_1","ST-1124","상계2동_025_1","1","4","609"
"20250515","출발시간","1900","ST-2371","중앙동_009_1","ST-3117","신대방2동_033_1","2","51","7610"
"20250515","출발시간","1820","ST-905","문정2동_010_1","ST-903","문정2동_044_11","1","13","1741"
"20250515","출발시간","1735","ST-232","남가좌1동_014_1","ST-2210","연희동_055_1","1","9","1342"
"20250515","출발시간","2010","ST-2528","공덕동_009_2","ST-2534","합정동_023_1","1","38","4677"
"20250515","출발시간","0315","ST-737","가락본동_002_1","ST-2937","거여1동_020_1","1","17","1673"
"20250515","출발시간","2030","ST-729","사당1동_011_1","ST-3086","방배본동_031_1","1","13","1860"
"20250515","출발시간","1815","ST-3142","영등포본동_020_3","ST-55","여의동_006_11","1","16","2153"
"20250515","출발시간","0100","ST-876","오류2동_018_4","ST-1243","오류2동_049_1","1","",""
"20250515","출발시간","2155","ST-2979","연남동_029_2","ST-2905","망원1동_005_1","1","13","2542"
"20250515","출발시간","1645","ST-1724","송중동_054_1","ST-1724","송중동_054_1","1","31","2271"
"20250515","출발시간","2335","ST-2247","신사2동_013_1","ST-462","응암3동_002_2","1","2","1050"
"20250515","출발시간","1640","ST-2574","풍납2동_049_3","ST-2592","오륜동_002_3","1","14","1704"
"20250515","출발시간","1205","ST-3167","공릉1동_070_1","ST-2791","월계3동_001_1","1","10","398"
"20250515","출발시간","1815","ST-3265","송정동_004_2","ST-3017","합정동_025_1","1","69","15705"
"20250515","출발시간","0610","ST-780","잠원동_008_1","ST-2414","잠원동_013_1","1","5","634"
"20250515","출발시간","1330","ST-1663","자양1동_017_1","ST-2865","자양2동_021_2","1","2","495"
"20250515","출발시간","1430","ST-2705","월계2동_012_1","ST-2086","상계6,7동_025_1","1","20","2994"
"20250515","출발시간","1320","ST-2264","역촌동_068_1","ST-479","역촌동_080_1","1","3","445"
"20250515","출발시간","0020","ST-2888","우장산동_044_1","ST-525","우장산동_017_1","1","7","1490"
"20250515","출발시간","1625","ST-3215","신월2동_006_1","ST-2005","신정1동_005_1","1","73","2918"
"20250515","출발시간","2145","ST-950","조원동_024_1","ST-279","양평2동_011_1","1","28","7023"
"20250515","출발시간","2010","ST-3214","방이2동_006_1","ST-1184","수서동_019_1","1","97","6996"
"20250515","출발시간","1930","ST-2960","신정7동_021_1","ST-2960","신정7동_021_1","1","8","430"
"20250515","출발시간","1735","ST-2937","거여1동_020_1","ST-3191","","1","13","2090"
"20250515","출발시간","2250","ST-550","잠실3동_028_2","ST-3162","삼전동_039_1","1","14","1550"
"20250515","출발시간","1820","ST-1938","가산동_003_4","ST-705","난곡동_008_1","1","28","3579"
"20250515","출발시간","2205","ST-1281","중계1동_025_2","ST-2063","상계6,7동_049_1","3","95","4674"
"20250515","출발시간","1325","ST-1869","가락1동_040_1","ST-546","잠실본동_006_1","1","59","3987"
"20250515","출발시간","2135","ST-2786","회현동_003_6","ST-437","청파동_009_1","1","7","1238"
"20250515","출발시간","1040","ST-2635","묵1동_036_1","ST-2635","묵1동_036_1","1","15","1196"
"20250515","출발시간","2220","ST-2086","상계6,7동_025_1","ST-1285","중계2,3동_046_1","1","40","1009"
"20250515","출발시간","1525","ST-647","미아동_002_1","ST-2125","번1동_034_1","2","96","10666"
"20250515","출발시간","0040","ST-859","번2동_002_2","ST-2069","월계2동_014_1","1","6","984"
"20250515","출발시간","1815","ST-1679","역삼1동_057_1","ST-900","문정2동_044_8","1","46","11252"
"20250515","출발시간","0610","ST-2396","신정6동_002_3","ST-311","목1동_037_1","1","4","1403"
"20250515","출발시간","0845","ST-3142","영등포본동_020_3","ST-51","여의동_001_2","1","14","1870"
"20250515","출발시간","2150","ST-1968","영등포동_016_1","ST-1976","문래동_032_1","1","18","2444"
"20250515","출발시간","2035","ST-1729","삼전동_044_1","ST-1590","잠실3동_053_3","1","25","534"
"20250515","출발시간","2235","ST-376","마장동_019_1","ST-376","마장동_019_1","1","",""
"20250515","출발시간","2240","ST-376","마장동_019_1","ST-2222","월곡2동_030_1","1","20","4490"
"20250515","출발시간","1930","ST-2522","회현동_004_2","ST-185","소공동_001_8","1","67","3020"
"20250515","출발시간","0715","ST-1104","수유2동_010_1","ST-2137","번1동_025_1","1","9","877"
"20250515","출발시간","1615","ST-1084","문정1동_003_1","ST-737","가락본동_002_1","1","8","837"
"20250515","출발시간","2005","ST-737","가락본동_002_1","ST-1084","문정1동_003_1","1","11","1263"
"20250515","출발시간","0400","ST-1459","길음1동_024_1","ST-1210","길음1동_057_1","1","4","603"
"20250515","출발시간","1310","ST-1699","문래동_002_1","ST-1236","신도림동_057_1","1","62","3655"
"20250515","출발시간","1915","ST-1656","위례동_013_1","ST-3298","양재2동_032_1","1","42","11623"
"20250515","출발시간","0615","ST-3298","양재2동_032_1","ST-1360","도곡1동_013_1","1","10","2290"
"20250515","출발시간","2105","ST-1736","목5동_002_3","ST-2760","신정2동_021_1","1","21","3613"
"20250515","출발시간","0345","ST-887","인헌동_028_1","ST-1739","방배2동_005_1","1","14","2488"
"20250515","출발시간","1320","ST-1739","방배2동_005_1","ST-1156","낙성대동_031_1","1","23","2990"
"20250515","출발시간","1000","ST-611","상계6,7동_009_2","ST-606","하계2동_003_1","1","50","2590"
"20250515","출발시간","1650","ST-1455","안암동_013_1","ST-842","삼선동_001_1","1","18","2021"
"20250515","출발시간","1750","ST-2196","홍제1동_033_1","ST-3349","홍은2동_033_2","1","39","4650"
"20250515","출발시간","2020","ST-3092","창2동_014_3","ST-2223","석관동_001_1","1","44","5080"
"20250515","출발시간","1940","ST-1995","목1동_006_2","ST-1017","목5동_008_1","1","14","999"
"20250515","출발시간","1515","ST-1877","장지동_044_1","ST-1877","장지동_044_1","1","9","870"
"20250515","출발시간","1440","ST-1877","장지동_044_1","ST-1877","장지동_044_1","1","9","745"
"20250515","출발시간","1610","ST-3358","고덕2동_003_2","ST-1058","고덕1동_005_1","1","7","1157"
"20250515","출발시간","1705","ST-2056","발산1동_035_2","ST-2884","발산1동_007_2","1","12","732"
"20250515","출발시간","2200","ST-2993","발산1동_056_2","ST-2419","발산1동_058_1","1","6","786"
"20250515","출발시간","1735","ST-3172","방학1동_004_1","ST-2094","방학1동_007_1","1","42","621"
"20250515","출발시간","1820","ST-604","공릉2동_044_3","ST-604","공릉2동_044_3","1","21","1636"
